State/Ut,Constituency Name,Reserved for,Candidate Name,Age,Gender,Party,Total Votes,Margin
"Andhra Pradesh","Araku (ST)","ST","Chetti Thanuja Rani","31","Female","YSRCP","477005","50580"
"Andhra Pradesh","Srikakulam","GEN","Kinjarapu Ram Mohan Naidu","36","Male","TDP","754328","327901"
"Andhra Pradesh","Vizianagaram","GEN","Kalisetti Appala Naidu","50","Male","TDP","743113","249351"
"Andhra Pradesh","Visakhapatnam","GEN","Mathukumilli Bharat","35","Male","TDP","907467","504247"
"Andhra Pradesh","Anakapalli","GEN","C. M. Ramesh","58","Male","BJP","762069","296530"
"Andhra Pradesh","Kakinada","GEN","Tangella Uday Srinivas","38","Male","JSP","729699","229491"
"Andhra Pradesh","Amalapuram (SC)","SC","Ganti Harish Madhur","33","Male","TDP","796981","342196"
"Andhra Pradesh","Rajahmundry","GEN","Daggubati Purandeswari","67","Female","BJP","726515","239139"
"Andhra Pradesh","Narasapuram","GEN","Srinivas Verma","56","Male","BJP","707343","276802"
"Andhra Pradesh","Eluru","GEN","Putta Mahesh Yadav","39","Male","TDP","746351","181857"
"Andhra Pradesh","Machilipatnam","GEN","Vallabhaneni Balasouri","55","Male","JSP","724439","223179"
"Andhra Pradesh","Vijayawada","GEN","Kesineni Sivanath","55","Male","TDP","794154","282085"
"Andhra Pradesh","Guntur","GEN","Chandra Sekhar Pemmasani","48","Male","TDP","864948","344695"
"Andhra Pradesh","Narasaraopet","GEN","Lavu Sri Krishna Devarayalu","41","Male","TDP","807996","159729"
"Andhra Pradesh","Bapatla (SC)","SC","Tenneti Krishna Prasad","64","Male","TDP","717493","208031"
"Andhra Pradesh","Ongole","GEN","Magunta Sreenivasulu Reddy","70","Male","TDP","701894","50199"
"Andhra Pradesh","Nandyal","GEN","Byreddy Sabari","40","Female","TDP","701131","111975"
"Andhra Pradesh","Kurnool","GEN","Panchalingala Nagaraju","45","Male","TDP","658914","111298"
"Andhra Pradesh","Anantapur","GEN","Ambika Lakshminarayana","60","Male","TDP","768245","188555"
"Andhra Pradesh","Hindupur","GEN","B. K. Parthasarathi","64","Male","TDP","725534","132427"
"Andhra Pradesh","Kadapa","GEN","Y. S. Avinash Reddy","39","Male","YSRCP","605143","62695"
"Andhra Pradesh","Nellore","GEN","Vemireddy Prabhakar Reddy","68","Male","TDP","766202","245902"
"Andhra Pradesh","Tirupati (SC)","SC","Maddila Gurumoorthy","38","Male","YSRCP","632228","14569"
"Andhra Pradesh","Rajampet","GEN","P. V. Midhun Reddy","48","Male","YSRCP","644844","76071"
"Andhra Pradesh","Chittoor (SC)","SC","Daggumalla Prasada Rao","62","Male","TDP","778071","220479"
"Arunachal Pradesh","Arunachal West","GEN","Kiren Rijiju","53","Male","BJP","205417","100738"
"Arunachal Pradesh","Arunachal East","GEN","Tapir Gao","59","Male","BJP","145581","30421"
"Assam","Kokrajhar (ST)","ST","Joyanta Basumatary","48","Male","UPPL","488995","51583"
"Assam","Dhubri","GEN","Rakibul Hussain","59","Male","INC","1471885","1012476"
"Assam","Barpeta","GEN","Phani Bhusan Choudhury","72","Male","AGP","860113","222351"
"Assam","Darrang–Udalguri","GEN","Dilip Saikia","50","Male","BJP","868387","329012"
"Assam","Guwahati","GEN","Bijuli Kalita Medhi","45","Female","BJP","894887","251090"
"Assam","Diphu (ST)","ST","Amar Sing Tisso","56","Male","BJP","334620","147603"
"Assam","Karimganj","GEN","Kripanath Mallah","50","Male","BJP","545093","18360"
"Assam","Silchar (SC)","SC","Parimal Suklabaidya","66","Male","BJP","652405","264311"
"Assam","Nowgong","GEN","Pradyut Bordoloi","64","Male","INC","788850","212331"
"Assam","Kaziranga","GEN","Kamakhya Prasad Tasa","48","Male","BJP","897043","248947"
"Assam","Sonitpur","GEN","Ranjit Dutta","67","Male","BJP","775788","361408"
"Assam","Lakhimpur","GEN","Pradan Baruah","58","Male","BJP","663122","201257"
"Assam","Dibrugarh","GEN","Sarbananda Sonowal","62","Male","BJP","693762","279321"
"Assam","Jorhat","GEN","Gourav Gogoi","41","Male","INC","751771","144393"
"Bihar","Valmiki Nagar","GEN","Sunil Kumar","39","Male","JD(U)","523422","98675"
"Bihar","Paschim Champaran","GEN","Sanjay Jaiswal","58","Male","BJP","580421","136568"
"Bihar","Purvi Champaran","GEN","Radha Mohan Singh","74","Male","BJP","542193","88287"
"Bihar","Sheohar","GEN","Lovely Anand","57","Female","JD(U)","476612","29143"
"Bihar","Sitamarhi","GEN","Devesh Chandra Thakur","71","Male","JD(U)","515719","51356"
"Bihar","Madhubani","GEN","Ashok Kumar Yadav","54","Male","BJP","553428","151945"
"Bihar","Jhanjharpur","GEN","Ramprit Mandal","68","Male","JD(U)","533032","184169"
"Bihar","Supaul","GEN","Dileshwar Kamait","78","Male","JD(U)","595038","169803"
